第二特展室：新開聚落的變遷暨鯉魚潭水庫開發史特展,(中華民國)客家委員會客家文化發展中心,2018/01/01,2018/08/15
哇賽!碰─體感大冒險2.0特展,(中華民國)南藝創意工程股份有限公司,2018/01/01,2018/12/31
{旅人}--跨時空對話館藏精品常設展,(中華民國)臺中市港區藝術中心,2018/01/01,2018/07/01
「高雄研究文獻中心」常設展,(中華民國)高雄市立歷史博物館,2018/01/01,2018/12/31
電信@臺灣,(中華民國)國立科學工藝博物館;(中華民國)中華電信,2018/01/01,2018/12/31
傳統藝師林金鍊傀儡戲藝術特展,(中華民國)景春堂傀儡掌中劇團;(中華民國)林金鍊,2018/01/01,2018/06/30
發現臺灣-重訪臺灣博物學與博物學家的年代,(中華民國)國立臺灣博物館,2018/01/01,2018/12/31
昆蟲飛行秘技特展,(中華民國)國立臺灣博物館,2018/01/01,2018/09/02
總統大選展覽,(中華民國)國史館,2018/01/01,2018/12/31
臺南市南瀛科學教育館兒童科學館《帕克．奇遇》特展,(中華民國)臺南市南瀛科學教育館兒童科學館,2018/01/03,2018/12/31
自畫像與自我對話聯展,(中華民國)顏繹洲;(中華民國)蕭亮禹;(中華民國)吳宜靜,2018/11/01,2018/11/14
哇賽!碰─體感大冒險2.0特展,(中華民國)南藝創意工程股份有限公司,2019/01/01,2019/12/12
電信@臺灣,(中華民國)國立科學工藝博物館;(中華民國)中華電信,2019/01/01,2019/12/31
電信@臺灣,(中華民國)國立科學工藝博物館;(中華民國)中華電信,2020/01/01,2020/01/01
總統大選,,2016/04/29,2018/12/31
「愛—傳遞」壁畫創作展,,2016/08/27,2018/06/30
「工藝･經典･美學―盡看臺灣百年工藝」常設展,國立傳統藝術中心,2017/01/21,2018/12/06
郵政博物館「臺北2016世界郵展回顧展」即日起開放參觀,郵政博物館,2017/07/24,2018/12/31
我的祕密花園,,2017/09/23,2018/09/02
聚合‧綻放──臺灣美術團體與美術發展,,2017/10/21,2019/12/31
107年「路竹，老宅散步」古厝巡禮常設展,,2018/01/02,2018/12/30
107年創意書法作品常設展,,2018/01/02,2018/12/30
擴增文學・數位百工特展／台灣文學Ｘ數位內容,國立臺灣文學館,2017/12/20,2019/12/20
永樂-15世紀前期官方用瓷特展,,2017/05/18,2018/11/01
『大漢雄風，出神入化』-楊小寧新漢畫畫展,,2017/04/01,2020/04/11
2019展覽徵件＊展一檔送一檔*隨到隨審,,2017/07/21,2019/01/01
蛙哈哈藝旅空間-共享空間租借,,2017/07/29,2019/01/01
2017《煤●記憶》聯合展出系列活動,,2017/10/14,2019/05/01
衛武營藝術文化中心建築暨劇場常設展,(中華民國)衛武營藝術文化中心籌備處,2018/01/01,2018/12/31
藝起轉動、閱讀藝術視界︰藝術櫥窗展(電影類),(中華民國)謝幸宜;(中華民國)許婕筠;(中華民國)沈利潔,2018/01/01,2018/08/31
工藝新趣-新工藝人才入籍活動徵選計畫成果展（常態展）,(中華民國)國立臺灣工藝研究發展中心,2018/01/01,2018/12/31
工藝時尚Yii特展（常設展）,(中華民國)國立臺灣工藝研究發展中心,2018/01/01,2018/12/31
潛返地心、儀震天下特展（常設展）,(中華民國)國立自然科學博物館,2018/01/01,2018/12/31
「飛覽竹山」特展,(中華民國)國立自然科學博物館,2018/01/01,2018/12/31
斷層槽溝保存館（常設展）,(中華民國)國立自然科學博物館,2018/01/01,2018/12/31
竹藝博物館常設展,(中華民國)吳聖宗;(中華民國)黃塗山;(中華民國)李榮烈;(中華民國)邱錦緞;(中華民國)葉寶蓮,2018/01/01,2018/12/31
南投陶常設展,(中華民國)南投縣政府文化局,2018/01/01,2018/12/31
臺灣省政資料館主題陳列特展,(中華民國)臺灣省政府資料室,2018/01/01,2018/12/31
擴增文學・數位百工特展　台灣文學×數位內容,(中華民國)國立臺灣文學館,2018/01/02,2018/12/31
